state,zcta5,ZIPName,County,County2
34,07105,"Newark, NJ",Essex NJ,
34,07106,"Newark, NJ",Essex NJ,
34,07107,"Newark, NJ",Essex NJ,
34,07108,"Newark, NJ",Essex NJ,
34,07109,"Belleville, NJ",Essex NJ,
34,07110,"Nutley, NJ",Essex NJ,Passaic NJ
34,07111,"Irvington, NJ",Essex NJ,
34,07112,"Newark, NJ",Essex NJ,
34,07114,"Newark, NJ",Essex NJ,
34,07201,"Elizabeth, NJ",Union NJ,
34,07202,"Elizabeth, NJ",Union NJ,
34,07203,"Roselle, NJ",Union NJ,
34,07204,"Roselle Park, NJ",Union NJ,
34,07205,"Hillside, NJ",Union NJ,
34,07206,"Elizabeth, NJ",Union NJ,
34,07208,"Elizabeth, NJ",Union NJ,
34,07302,"Jersey City, NJ",Hudson NJ,
34,07304,"Jersey City, NJ",Hudson NJ,
34,07305,"Jersey City, NJ",Hudson NJ,
34,07306,"Jersey City, NJ",Hudson NJ,
34,07307,"Jersey City, NJ",Hudson NJ,
34,07310,"Jersey City, NJ",Hudson NJ,
34,07311,"Jersey City, NJ",Hudson NJ,
34,07401,"Allendale, NJ",Bergen NJ,
34,07403,"Bloomingdale, NJ",Passaic NJ,
34,07405,"Kinnelon, NJ",Morris NJ,
34,07407,"Elmwood Park, NJ",Bergen NJ,
34,07410,"Fair Lawn, NJ",Bergen NJ,
34,07416,"Franklin, NJ",Sussex NJ,
34,07417,"Franklin Lakes, NJ",Bergen NJ,
34,07418,"Vernon Valley, NJ",Sussex NJ,
34,07419,"Hamburg, NJ",Sussex NJ,
34,07420,"Wanaque, NJ",Passaic NJ,
34,07421,"Hewitt, NJ",Passaic NJ,Sussex NJ
34,07422,"Highland Lake, NJ",Sussex NJ,
34,07423,"Ho-Ho-Kus, NJ",Bergen NJ,
34,07424,"Woodland Park, NJ",Passaic NJ,
34,07430,"Mahwah, NJ",Bergen NJ,
34,07432,"Midland Park, NJ",Bergen NJ,
34,07435,"Newfoundland, NJ",Passaic NJ,Morris NJ
34,07436,"Oakland, NJ",Bergen NJ,
34,07438,"Oak Ridge, NJ",Morris NJ,Passaic NJ
34,07439,"Ogdensburg, NJ",Sussex NJ,
34,07440,"Pequannock, NJ",Morris NJ,
34,07442,"Pompton Lakes, NJ",Passaic NJ,
34,07444,"Pompton Plains, NJ",Morris NJ,
34,07446,"Ramsey, NJ",Bergen NJ,
34,07450,"Ridgewood, NJ",Bergen NJ,
34,07452,"Glen Rock, NJ",Bergen NJ,
34,07456,"Ringwood, NJ",Passaic NJ,
34,07457,"Riverdale, NJ",Morris NJ,
34,07458,"Upper Saddle River, NJ",Bergen NJ,
34,07460,"Stockholm, NJ",Sussex NJ,Morris NJ
34,07461,"Sussex, NJ",Sussex NJ,
34,07462,"Vernon, NJ",Sussex NJ,
34,07463,"Waldwick, NJ",Bergen NJ,
34,07465,"Wanaque, NJ",Passaic NJ,
34,07470,"Wayne, NJ",Passaic NJ,
34,07480,"West Milford, NJ",Passaic NJ,
34,07481,"Wyckoff, NJ",Bergen NJ,
34,07501,"Paterson, NJ",Passaic NJ,
34,07502,"Paterson, NJ",Passaic NJ,
34,07503,"Paterson, NJ",Passaic NJ,
34,07504,"Paterson, NJ",Passaic NJ,
34,07505,"Paterson, NJ",Passaic NJ,
34,07506,"Hawthorne, NJ",Passaic NJ,
34,07508,"North Haledon, NJ",Passaic NJ,
34,07512,"Totowa, NJ",Passaic NJ,
34,07513,"Paterson, NJ",Passaic NJ,
34,07514,"Paterson, NJ",Passaic NJ,
34,07522,"Paterson, NJ",Passaic NJ,
34,07524,"Paterson, NJ",Passaic NJ,
34,07601,"Hackensack, NJ",Bergen NJ,
34,07603,"Bogota, NJ",Bergen NJ,
34,07604,"Hasbrouck Heights, NJ",Bergen NJ,
34,07605,"Leonia, NJ",Bergen NJ,
34,07606,"South Hackensack, NJ",Bergen NJ,
34,07607,"Maywood, NJ",Bergen NJ,
34,07608,"Teterboro, NJ",Bergen NJ,
34,07620,"Alpine, NJ",Bergen NJ,
34,07621,"Bergenfield, NJ",Bergen NJ,
34,07624,"Closter, NJ",Bergen NJ,
34,07626,"Cresskill, NJ",Bergen NJ,
34,07627,"Demarest, NJ",Bergen NJ,
34,07628,"Dumont, NJ",Bergen NJ,
34,07630,"Emerson, NJ",Bergen NJ,
34,07631,"Englewood, NJ",Bergen NJ,
34,07632,"Englewood Cliffs, NJ",Bergen NJ,
34,07640,"Harrington Park, NJ",Bergen NJ,
34,07641,"Haworth, NJ",Bergen NJ,
34,07642,"Hillsdale, NJ",Bergen NJ,
34,07643,"Little Ferry, NJ",Bergen NJ,
34,07644,"Lodi, NJ",Bergen NJ,
34,07645,"Montvale, NJ",Bergen NJ,
34,07646,"New Milford, NJ",Bergen NJ,
34,07647,"Northvale, NJ",Bergen NJ,
34,07648,"Norwood, NJ",Bergen NJ,
34,07649,"Oradell, NJ",Bergen NJ,
34,07650,"Palisades Park, NJ",Bergen NJ,
34,07652,"Paramus, NJ",Bergen NJ,
34,07656,"Park Ridge, NJ",Bergen NJ,
34,07657,"Ridgefield, NJ",Bergen NJ,
34,07660,"Ridgefield Park, NJ",Bergen NJ,
34,07661,"River Edge, NJ",Bergen NJ,
34,07662,"Rochelle Park, NJ",Bergen NJ,
34,07663,"Saddle Brook, NJ",Bergen NJ,
34,07666,"Teaneck, NJ",Bergen NJ,
34,07670,"Tenafly, NJ",Bergen NJ,
34,07675,"Westwood, NJ",Bergen NJ,
